,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Palma de Mallorca,39.5694,2.6502,44.01,93,20,2.3,ES,1618703483
358,Baracoa,20.3467,-74.4958,77.94,72,0,4.54,CU,1618703711
359,Kalmunai,7.4167,81.8167,77.61,85,79,5.95,LK,1618703412
360,Kobyzhcha,50.8285,31.5044,35.6,93,75,4.47,UA,1618703711
361,Kabarnet,0.4919,35.743,55.87,74,100,1.1,KE,1618703711
362,Koumac,-20.5667,164.2833,81.68,64,68,1.19,NC,1618703712
363,Togur,58.3631,82.8265,31.23,92,100,14.25,RU,1618703712
364,Daru,-9.0763,143.2092,79.11,88,100,8.08,PG,1618703713
365,Panlaitan,12.1191,119.8486,82.74,72,99,10.2,PH,1618703713
366,Carballo,43.213,-8.691,48.2,61,0,3.44,ES,1618703713
367,Poya,-21.35,165.15,81.45,63,29,5.19,NC,1618703714
368,Voss,60.623,6.4229,42.01,77,6,4.74,NO,1618703714
369,Lumding,25.7535,93.1732,65.88,86,69,1.59,IN,1618703714
370,Puerto Ayacucho,5.6639,-67.6236,79.39,81,96,4.88,VE,1618703715
371,General Roca,-39.0333,-67.5833,66.2,45,0,5.75,AR,1618703715
372,Athens,37.9795,23.7162,60.01,77,20,3.4,GR,1618703449
373,Uglegorsk,49.0833,142.0333,41.85,85,100,7.81,RU,1618703716
374,Longaví,-35.9667,-71.6833,61.59,62,95,4.61,CL,1618703716
375,Ust'-Barguzin,53.45,108.9833,28.78,68,100,6.82,RU,1618703716
376,Masty,53.4122,24.5387,44.69,82,100,4.81,BY,1618703717
377,Kéfalos,36.7453,26.9589,66.2,55,40,17.27,GR,1618703717
378,Abaza,52.655,90.0928,30.6,89,97,1.03,RU,1618703717
379,Sisimiut,66.9395,-53.6735,17.46,73,99,9.37,GL,1618703718
380,Cervo,43.6702,-7.4101,51.01,77,6,1.99,ES,1618703718
381,Qandala,11.472,49.8728,80.64,65,1,6.44,SO,1618703427
382,Lālmohan,22.3384,90.7419,79.41,78,0,7.18,BD,1618703718
383,Naryan-Mar,67.6713,53.087,8.11,89,37,6.11,RU,1618703719
384,Coihueco,-36.6167,-71.8333,64.4,68,98,8.05,CL,1618703719
385,Aksu,41.1231,80.2644,56.32,29,44,4.43,CN,1618703720
386,Abay,49.6311,72.8539,26.6,93,0,4.47,KZ,1618703720
387,Nurota,40.5614,65.6886,60.8,51,100,4.61,UZ,1618703720
388,Bedum,53.3008,6.6028,41.0,100,79,2.3,NL,1618703721
389,Barraute,48.4335,-77.6328,53.6,43,75,5.75,CA,1618703721
390,Pictou,45.6834,-62.7153,39.2,87,100,19.57,CA,1618703721
391,Samarai,-10.6167,150.6667,84.04,74,79,13.11,PG,1618703722
392,Tabatinga,-4.2525,-69.9381,80.6,89,75,1.99,BR,1618703722
393,Quatre Cocos,-20.2078,57.7625,77.0,94,75,8.05,MU,1618703722
394,Shimoda,34.6667,138.95,63.0,41,20,20.71,JP,1618703424
395,Cockburn Town,21.4612,-71.1419,78.8,78,40,5.75,TC,1618703395
396,Mount Isa,-20.7333,139.5,73.4,33,2,12.66,AU,1618703723
397,Ugoofaaru,5.6667,73.0,83.14,73,45,9.35,MV,1618703724
398,Harper,4.375,-7.7169,77.32,86,100,7.0,LR,1618703724
399,Ulaangom,49.9811,92.0667,41.72,55,7,3.09,MN,1618703724
400,Tahoua,14.8888,5.2692,84.51,11,53,4.56,NE,1618703725
401,Abhā,18.2164,42.5053,57.2,71,40,14.97,SA,1618703725
402,Necochea,-38.5473,-58.7368,66.0,88,55,8.61,AR,1618703726
403,Yumen,40.2833,97.2,51.17,15,98,2.06,CN,1618703726
404,Flin Flon,54.7682,-101.865,42.8,45,90,11.5,CA,1618703726
405,Port Hedland,-20.3167,118.5667,82.4,26,40,17.27,AU,1618703680
406,Fortuna,40.5982,-124.1573,55.0,82,1,12.66,US,1618703405
407,Roebourne,-20.7833,117.1333,83.3,40,0,11.18,AU,1618703727
408,Padang,-0.9492,100.3543,71.6,94,20,2.3,ID,1618703727
409,San Juan,-31.5375,-68.5364,76.35,49,14,8.75,AR,1618703728
410,Pervomayskiy,53.2485,40.2871,45.0,80,84,3.51,RU,1618703728
411,Torbay,47.6666,-52.7314,35.01,100,90,13.8,CA,1618703728
412,Luena,-11.7833,19.9167,59.86,76,16,4.47,AO,1618703729
413,Kanel,15.4916,-13.1763,91.4,25,0,4.61,SN,1618703729
414,Fort Nelson,58.8053,-122.7002,41.0,87,90,6.91,CA,1618703429
415,Kahului,20.8947,-156.47,80.6,61,40,14.97,US,1618703506
416,Olinda,-8.0089,-34.8553,75.2,88,75,3.44,BR,1618703730
417,Orange Cove,36.6244,-119.3137,81.0,30,8,1.99,US,1618703730
418,Barra de Tecoanapa,16.5167,-98.75,81.88,62,27,11.97,MX,1618703730
419,Artvin Province,41.1667,41.8333,59.0,72,75,11.5,TR,1618703731
420,Sechura,-5.5569,-80.8222,73.27,70,94,16.58,PE,1618703731
421,Severo-Yeniseyskiy,60.3725,93.0408,18.52,81,100,11.32,RU,1618703732
422,Hargeisa,9.56,44.065,69.89,64,95,1.19,SO,1618703732
423,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,75.0,80,97,1.99,AR,1618703732
424,Bajil,15.0584,43.2851,80.26,63,45,3.98,YE,1618703733
425,Linguère,15.3953,-15.1193,91.4,18,0,6.91,SN,1618703733
426,Chernyshevskiy,63.0128,112.4714,8.8,89,100,10.6,RU,1618703733
427,Lata,40.1629,-8.3327,57.0,79,71,2.44,PT,1618703438
428,Norman Wells,65.282,-126.8329,50.0,40,20,9.22,CA,1618703734
429,Lagoa,39.05,-27.9833,60.91,91,36,18.43,PT,1618703467
430,Okitipupa,6.5047,4.7839,77.25,92,100,2.93,NG,1618703734
431,Stokmarknes,68.5646,14.9108,35.6,75,0,4.61,NO,1618703735
432,Aktobe,50.2797,57.2072,46.4,81,0,4.47,KZ,1618703735
433,Vao,-22.6667,167.4833,74.98,76,35,17.96,NC,1618703735
434,Margate,51.3813,1.3862,42.01,73,97,1.99,GB,1618703544
435,Ust'-Ilimsk,58.0006,102.6619,16.09,78,20,3.89,RU,1618703736
436,Tessalit,20.1986,1.0114,84.83,20,89,7.74,ML,1618703736
437,Noumea,-22.2763,166.4572,82.4,61,0,6.91,NC,1618703512
438,Avera,33.194,-82.5271,73.4,43,75,4.61,US,1618703737
439,Marsh Harbour,26.5412,-77.0636,77.94,74,9,9.86,BS,1618703737
440,Thunder Bay,48.4001,-89.3168,50.0,29,1,9.22,CA,1618703488
441,Port Blair,11.6667,92.75,80.64,75,45,4.47,IN,1618703738
442,Caravelas,-17.7125,-39.2481,74.07,73,85,6.11,BR,1618703467
443,Henties Bay,-22.116,14.2845,76.42,44,81,11.81,NA,1618703440
444,Kletskaya,49.3145,43.0584,45.34,71,11,5.39,RU,1618703738
445,Zhangye,38.9342,100.4517,53.02,19,57,2.42,CN,1618703739
446,Sambava,-14.2667,50.1667,76.24,85,98,5.48,MG,1618703739
447,Tiznit Province,29.5833,-9.5,61.43,67,0,3.18,MA,1618703739
448,Atar,20.5169,-13.0499,75.72,20,0,8.81,MR,1618703740
449,Ubinskoye,55.3068,79.6802,31.44,80,97,11.9,RU,1618703740
450,Maceió,-9.6658,-35.7353,78.8,83,40,2.3,BR,1618703464
451,Laas,46.6166,10.7002,37.99,69,0,5.75,IT,1618703642
452,Gibara,21.1097,-76.1317,86.0,51,0,13.8,CU,1618703741
453,Omboué,-1.5746,9.2618,78.67,89,100,5.26,GA,1618703741
454,Guayaramerín,-10.8368,-65.3614,74.95,96,99,2.44,BO,1618703478
455,Nantucket,41.2835,-70.0995,44.6,70,1,11.5,US,1618703719
456,Portland,45.5234,-122.6762,84.0,14,1,6.91,US,1618703399
457,Luwuk,-0.9516,122.7875,82.31,67,75,3.04,ID,1618703742
458,Dongsheng,39.8161,109.9776,43.48,23,0,10.02,CN,1618703742
459,Lac-Mégantic,45.5834,-70.8823,41.0,100,100,4.56,CA,1618703587
460,Neepawa,50.2289,-99.4664,60.8,27,75,13.8,CA,1618703742
461,Egvekinot,66.3167,-179.1667,28.0,98,100,13.73,RU,1618703743
462,San Cristobal,7.7669,-72.225,84.2,51,40,9.22,VE,1618703743
463,Saint Anthony,45.0205,-93.218,55.99,33,75,10.36,US,1618703743
464,Te Anau,-45.4167,167.7167,53.35,90,99,5.64,NZ,1618703744
465,Turrialba,9.9047,-83.6835,68.0,94,75,5.75,CR,1618703744
466,Haines Junction,60.7522,-137.5108,55.4,24,12,6.91,CA,1618703745
467,Sinnamary,5.3833,-52.95,78.75,78,84,15.12,GF,1618703745
468,Ngudu,-2.9667,33.3333,62.29,91,72,5.06,TZ,1618703745
469,Kadom,54.5592,42.4675,46.38,62,72,9.24,RU,1618703746
470,Kinablangan,7.6947,126.5503,82.58,71,100,1.14,PH,1618703746
471,Bulgan,48.8125,103.5347,41.72,44,27,1.28,MN,1618703746
472,Anjozorobe,-18.4,47.8667,60.8,82,75,8.05,MG,1618703747
473,Nizhneangarsk,55.7833,109.55,19.45,73,79,7.83,RU,1618703747
474,Hambantota,6.1241,81.1185,77.18,85,99,14.45,LK,1618703427
475,Hūn,29.1268,15.9477,77.94,34,87,2.86,LY,1618703747
476,Waipawa,-41.4122,175.5153,64.4,48,5,9.22,NZ,1618703748
477,Lenoir,35.2335,-77.6497,64.4,45,75,3.44,US,1618703748
478,Marigot,18.0667,-63.0833,81.0,78,20,6.91,MF,1618703749
479,Puqi,29.7167,113.8833,60.53,76,100,3.96,CN,1618703749
480,Turukhansk,65.8167,87.9833,2.21,91,100,8.48,RU,1618703428
481,Lukulu,-14.3707,23.242,63.05,57,42,8.48,ZM,1618703750
482,Coquimbo,-29.9533,-71.3436,57.2,88,75,5.75,CL,1618703750
483,Tarancón,40.0085,-3.0073,48.0,65,0,9.22,ES,1618703750
484,Beringovskiy,63.05,179.3167,32.72,98,100,12.08,RU,1618703435
485,Camacha,33.0833,-16.3333,60.8,77,40,8.05,PT,1618703751
486,Tornio,65.8481,24.1466,26.6,93,0,1.14,FI,1618703652
487,Ippy,6.2679,21.2247,74.05,58,93,6.31,CF,1618703751
488,Port-Gentil,-0.7193,8.7815,77.0,83,90,4.61,GA,1618703752
489,Constitución,-35.3333,-72.4167,55.85,88,83,3.65,CL,1618703752
490,Kirkwood,38.5834,-90.4068,59.0,55,75,8.05,US,1618703467
491,Wichita Falls,33.9137,-98.4934,55.4,50,75,10.36,US,1618703752
492,Wer,27.0,77.1667,76.96,32,29,4.07,IN,1618703753
493,Launceston,-41.45,147.1667,59.0,76,26,12.66,AU,1618703753
494,Upata,8.0086,-62.3989,86.0,64,83,3.0,VE,1618703753
495,Santa Vitória do Palmar,-33.5189,-53.3681,64.27,91,4,6.4,BR,1618703754
496,Copiapó,-27.3667,-70.3333,59.0,88,90,12.66,CL,1618703542
497,Xichang,27.8964,102.2634,60.91,72,86,1.79,CN,1618703754
498,Dhībān,35.0365,40.5167,74.71,22,28,4.63,SY,1618703754
499,Chirongui,-12.9319,45.1483,82.4,78,75,13.8,YT,1618703755
500,Pangnirtung,66.1451,-65.7125,0.1,93,73,6.78,CA,1618703755
501,Kruisfontein,-34.0033,24.7314,61.0,32,16,4.14,ZA,1618703756
502,Molina,-35.1167,-71.2833,60.01,77,93,3.44,CL,1618703756
503,Edéa,3.8,10.1333,75.2,94,75,2.3,CM,1618703756
504,Siavonga,-16.5382,28.7088,68.41,69,98,6.91,ZM,1618703757
505,Rock Springs,41.5875,-109.2029,44.6,29,1,16.11,US,1618703594
506,Rjukan,59.8789,8.5941,42.01,64,35,1.01,NO,1618703757
507,Yarke Pole,45.608,34.3172,42.48,75,39,7.52,UA,1618703757
508,Temerin,45.4086,19.8892,42.01,100,75,4.61,RS,1618703758
509,Changli,39.7042,119.1506,55.47,18,0,6.87,CN,1618703758
510,Baikunthpur,23.25,82.55,74.73,27,2,4.56,IN,1618703758
511,Moose Factory,51.2585,-80.6094,32.0,93,1,8.05,CA,1618703759
512,Nampula,-15.1165,39.2666,68.0,88,40,8.05,MZ,1618703759
513,Vanavara,60.34,102.2797,13.93,84,40,6.91,RU,1618703759
514,Tilichiki,60.4667,166.1,28.33,76,67,9.82,RU,1618703760
515,Muisne,0.6,-80.0333,77.0,82,88,3.47,EC,1618703760
516,Alugan,12.2188,125.4808,77.09,93,100,28.63,PH,1618703761
517,Goderich,43.7501,-81.7165,44.6,76,89,3.44,CA,1618703761
518,Baiyin,36.5583,104.2081,32.0,55,0,4.47,CN,1618703761
519,Akçakoca,41.0866,31.1162,51.75,93,93,5.03,TR,1618703762
520,Rūdbār,30.15,62.6,71.24,19,82,6.29,AF,1618703762
521,Mogadishu,2.0371,45.3438,82.44,73,89,9.04,SO,1618703671
522,Östersund,63.1792,14.6357,37.4,65,10,5.75,SE,1618703762
523,Alyangula,-13.8483,136.4192,82.4,61,48,5.75,AU,1618703763
524,Maniitsoq,65.4167,-52.9,7.47,75,75,15.21,GL,1618703763
525,Hamada,34.8833,132.0833,51.8,54,75,18.41,JP,1618703763
526,Butte,39.6499,-121.5677,86.0,14,1,6.91,US,1618703764
527,Parole,38.9796,-76.5305,55.4,62,1,4.99,US,1618703764
528,Bangassou,4.7413,22.8184,69.24,90,100,1.25,CF,1618703765
529,Māngrol,21.1167,70.1167,77.95,79,0,9.06,IN,1618703765
530,Karaton,-6.3424,106.1045,81.0,83,40,4.61,ID,1618703765
531,Yong’an,39.6957,113.6871,48.27,20,0,1.16,CN,1618703766
532,Arlit,18.7369,7.3853,84.69,6,98,6.24,NE,1618703766
533,Prabumulih,-3.45,104.25,72.28,97,100,2.37,ID,1618703766
534,Kusu,33.2831,131.1514,51.8,50,40,10.36,JP,1618703767
535,Wattegama,6.7989,81.4808,73.83,91,73,4.47,LK,1618703767
536,Nizwá,22.9333,57.5333,78.96,20,93,1.81,OM,1618703767
537,Ambon City,-3.6954,128.1814,84.2,74,40,3.44,ID,1618703768
538,Nerja,36.7585,-3.8873,57.99,54,1,8.01,ES,1618703768
539,Dayong,25.0209,118.2898,68.0,56,0,15.66,CN,1618703768
540,Erenhot,43.6475,111.9767,47.57,22,0,17.54,CN,1618703769
541,Pitsunda,43.1592,40.3378,51.8,93,75,2.24,GE,1618703769
542,Jiuquan,39.7432,98.5174,52.48,16,98,0.87,CN,1618703769
543,Pimentel,-6.8367,-79.9342,69.8,73,0,23.02,PE,1618703770
544,Biedenkopf,50.9167,8.5333,39.0,81,97,3.71,DE,1618703770
545,Bonney Lake,47.1771,-122.1865,81.0,15,1,3.27,US,1618703611
546,Salinópolis,-0.6136,-47.3561,78.26,85,98,10.25,BR,1618703771
547,Doha,25.2867,51.5333,78.8,22,0,6.91,QA,1618703575
548,Vila Franca do Campo,37.7167,-25.4333,62.6,94,75,6.91,PT,1618703771
549,Larap,14.299,122.6504,78.76,85,100,18.32,PH,1618703771
550,Slave Lake,55.2834,-114.769,55.4,35,90,14.97,CA,1618703772
551,Port Shepstone,-30.7414,30.455,62.42,80,18,14.47,ZA,1618703772
552,Grand-Lahou,5.1367,-5.0242,78.89,83,84,6.58,CI,1618703772
553,Balotra,25.8333,72.2333,79.52,22,12,6.06,IN,1618703773
554,Torbeyevo,54.0797,43.2473,47.01,80,92,2.48,RU,1618703773
555,Kutum,14.2,24.6667,70.81,11,21,9.44,SD,1618703774
556,Velyka Oleksandrivka,47.3197,33.3037,43.34,57,76,2.35,UA,1618703774
557,Zima,53.9202,102.0442,23.95,59,64,5.37,RU,1618703774
558,Palm Beach,26.6503,-80.4498,82.99,68,7,4.0,US,1618703775
559,Altamira,-3.2033,-52.2064,72.54,97,70,1.41,BR,1618703775
560,Barry,51.4067,-3.2694,43.0,75,65,8.05,GB,1618703591
561,Fare,-16.7,-151.0167,82.11,73,8,8.7,PF,1618703612
562,Gainesville,29.6516,-82.3248,75.2,73,75,6.91,US,1618703776
563,Kolokani,13.5728,-8.0339,83.68,44,85,7.09,ML,1618703776
564,São Miguel do Araguaia,-13.275,-50.1628,74.16,82,98,0.43,BR,1618703776
565,Caucayá,-0.1934,-74.7819,71.64,98,100,2.21,CO,1618703777
